State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Alaska,AK,3,HILARY CLINTON,37.7,93007,DONALD TRUMP,52.9,130415,,,,2016
Alabama,AL,9,HILARY CLINTON,34.6,718084,DONALD TRUMP,62.9,1306925,,,,2016
Arkansas,AR,6,HILARY CLINTON,33.8,378729,DONALD TRUMP,60.6,677904,,,,2016
Arizona,AZ,11,HILARY CLINTON,45.4,933655,DONALD TRUMP,49.6,1017166,,,,2016
California,CA,55,HILARY CLINTON,61.5,5589936,DONALD TRUMP,33.2,302195,,,,2016
Colorado,CO,9,HILARY CLINTON,47.2,1208095,DONALD TRUMP,44.4,1136354,,,,2016
Connecticut,CT,7,HILARY CLINTON,53.9,823360,DONALD TRUMP,41.7,637919,,,,2016
Dist. of Col.,DC,3,HILARY CLINTON,90.5,260223,DONALD TRUMP,4,11553,,,,2016
Delaware,DE,3,HILARY CLINTON,53.4,235581,DONALD TRUMP,41.9,185103,,,,2016
Florida,FL,29,HILARY CLINTON,47.8,4485745,DONALD TRUMP,49.1,4605515,,,,2016
Georgia,GA,16,HILARY CLINTON,45.6,1837300,DONALD TRUMP,51.3,2068623,,,,2016
Hawaii,HI,4,HILARY CLINTON,62.3,251853,DONALD TRUMP,30.1,121648,,,,2016
Iowa,IA,6,HILARY CLINTON,42.2,650790,DONALD TRUMP,51.8,798923,,,,2016
Idaho,ID,4,HILARY CLINTON,27.6,189677,DONALD TRUMP,59.2,407199,,,,2016
Illinois,IL,20,HILARY CLINTON,55.4,2977498,DONALD TRUMP,39.4,2118179,,,,2016
Indiana,IN,11,HILARY CLINTON,37.9,1031953,DONALD TRUMP,57.2,1556200,,,,2016
Kansas,KS,6,HILARY CLINTON,36.2,414788,DONALD TRUMP,57.2,65609,,,,2016
Kentucky,KY,8,HILARY CLINTON,32.7,628834,DONALD TRUMP,62.5,1202942,,,,2016
Louisiana,LA,8,HILARY CLINTON,38.4,779535,DONALD TRUMP,58.1,1178004,,,,2016
Massachusetts,MA,11,HILARY CLINTON,60.8,1964768,DONALD TRUMP,33.5,1083069,,,,2016
Maryland,MD,10,HILARY CLINTON,60.5,149951,DONALD TRUMP,35.3,873646,,,,2016
Maine,ME,3,HILARY CLINTON,47.9,354873,DONALD TRUMP,45.2,334838,,,,2016
Michigan,MI,0,HILARY CLINTON,47.3,2267798,DONALD TRUMP,47.6,2279221,,,,2016
Minnesota,MN,10,HILARY CLINTON,46.9,1366676,DONALD TRUMP,45.4,1322891,,,,2016
Missouri,MO,10,HILARY CLINTON,37.8,1054889,DONALD TRUMP,56.9,1585753,,,,2016
Mississippi,MS,6,HILARY CLINTON,58.3,462001,DONALD TRUMP,58.3,678457,,,,2016
Montana,MT,3,HILARY CLINTON,36,174521,DONALD TRUMP,56.5,274120,,,,2016
North Carolina,NC,15,HILARY CLINTON,46.7,2162074,DONALD TRUMP,50.5,2339603,,,,2016
North Dakota,ND,3,HILARY CLINTON,27.2,93526,DONALD TRUMP,63,216133,,,,2016
Nebraska,NE,2,HILARY CLINTON,34,273858,DONALD TRUMP,60.3,485819,,,,2016
New Hampshire,NH,4,HILARY CLINTON,47.6,348521,DONALD TRUMP,47.3,345789,,,,2016
New Jersey,NJ,14,HILARY CLINTON,55,2021756,DONALD TRUMP,41.8,1535513,,,,2016
New Mexico,NM,5,HILARY CLINTON,48.3,380724,DONALD TRUMP,40,315875,,,,2016
Nevada,NV,6,HILARY CLINTON,47.9,537753,DONALD TRUMP,45.5,511319,,,,2016
New York,NY,29,HILARY CLINTON,58.8,4143874,DONALD TRUMP,37.5,2640570,,,,2016
Ohio,OH,18,HILARY CLINTON,43.5,2317001,DONALD TRUMP,52.1,2771984,,,,2016
Oklahoma,OK,7,HILARY CLINTON,28.9,419788,DONALD TRUMP,65.3,947934,,,,2016
Oregon,OR,7,HILARY CLINTON,51.7,934631,DONALD TRUMP,41.1,742506,,,,2016
Pennsylvania,PA,20,HILARY CLINTON,47.6,2844705,DONALD TRUMP,48.8,2912941,,,,2016
Rhode Island,RI,4,HILARY CLINTON,55.4,249902,DONALD TRUMP,39.8,179421,,,,2016
South Carolina,SC,9,HILARY CLINTON,40.8,849469,DONALD TRUMP,54.9,1143611,,,,2016
South Dakota,SD,3,HILARY CLINTON,31.7,117442,DONALD TRUMP,61.5,227701,,,,2016
Tennessee,TN,11,HILARY CLINTON,34.9,867110,DONALD TRUMP,61.1,1517402,,,,2016
Texas,TX,38,HILARY CLINTON,43.3,3867816,DONALD TRUMP,52.4,4681590,,,,2016
Utah,UT,6,HILARY CLINTON,27.8,237241,DONALD TRUMP,46.6,397004,,,,2016
Virginia,VA,13,HILARY CLINTON,49.9,1916845,DONALD TRUMP,45,1731156,,,,2016
Vermont,VT,3,HILARY CLINTON,61.1,178117,DONALD TRUMP,32.6,95050,,,,2016
Washington,WA,12,HILARY CLINTON,54.9,1364934,DONALD TRUMP,38.3,950710,,,,2016
Wisconsin,WI,10,HILARY CLINTON,46.9,1382210,DONALD TRUMP,47.9,1409467,,,,2016
West Virginia,WV,5,HILARY CLINTON,26.5,187457,DONALD TRUMP,68.7,486198,,,,2016
Wyoming,WY,3,HILARY CLINTON,22.5,55969,DONALD TRUMP,70.1,174248,,,,2016
