State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,9,JOHN KERRY,51.1,1445014,GEORGE W. BUSH,47.6,1346695,,,,2004
Wisconsin,WI,10,JOHN KERRY,49.7,1489504,GEORGE W. BUSH,49.3,1478120,,,,2004
Michigan,MI,17,JOHN KERRY,51.2,2479183,GEORGE W. BUSH,47.8,2313746,,,,2004
Illinois,IL,21,JOHN KERRY,54.8,2891550,GEORGE W. BUSH,44.5,2345946,,,,2004
Maine,ME,4,JOHN KERRY,53.6,396842,GEORGE W. BUSH,44.6,330201,,,,2004
Vermont,VT,3,JOHN KERRY,58.9,184067,GEORGE W. BUSH,38.8,121180,,,,2004
New York,NY,31,JOHN KERRY,58.4,4314280,GEORGE W. BUSH,40.1,2962567,,,,2004
Rhode Island,RI,4,JOHN KERRY,59.4,259765,GEORGE W. BUSH,38.7,169046,,,,2004
Massachusetts,MA,12,JOHN KERRY,61.9,1803800,GEORGE W. BUSH,36.8,1071109,,,,2004
Pennsylvania,PA,21,JOHN KERRY,50.9,2938095,GEORGE W. BUSH,48.4,2793847,,,,2004
New Jersey,NJ,15,JOHN KERRY,52.9,1911430,GEORGE W. BUSH,46.2,1670003,,,,2004
Connecticut,CT,7,JOHN KERRY,54.3,857488,GEORGE W. BUSH,43.9,693826,,,,2004
Dist. of Col.,DC,3,JOHN KERRY,89.2,202970,GEORGE W. BUSH,9.3,21256,,,,2004
Delaware,DE,3,JOHN KERRY,53.3,200152,GEORGE W. BUSH,45.8,171660,,,,2004
New Hampshire,NH,4,JOHN KERRY,50.2,340511,GEORGE W. BUSH,48.9,331237,,,,2004
Maryland,MD,10,JOHN KERRY,55.9,1334493,GEORGE W. BUSH,42.9,1024703,,,,2004
Washington,WA,11,JOHN KERRY,52.8,1510201,GEORGE W. BUSH,45.6,1304894,,,,2004
Oregon,OR,7,JOHN KERRY,51.3,943163,GEORGE W. BUSH,47.2,866831,,,,2004
California,CA,55,JOHN KERRY,54.3,6745485,GEORGE W. BUSH,44.4,5509826,,,,2004
Hawaii,HI,4,JOHN KERRY,54,231708,GEORGE W. BUSH,45.3,194191,,,,2004
Iowa,IA,7,JOHN KERRY,49.2,741898,GEORGE W. BUSH,49.9,751957,,,,2004
North Dakota,ND,3,JOHN KERRY,35.5,111052,GEORGE W. BUSH,62.9,196651,,,,2004
South Dakota,SD,3,JOHN KERRY,38.4,149244,GEORGE W. BUSH,59.9,232584,,,,2004
Indiana,IN,11,JOHN KERRY,39.3,969011,GEORGE W. BUSH,59.9,1479438,,,,2004
Ohio,OH,20,JOHN KERRY,48.7,2741167,GEORGE W. BUSH,50.8,2859768,,,,2004
Nebraska,NE,5,JOHN KERRY,32.7,254328,GEORGE W. BUSH,65.9,512814,,,,2004
Missouri,MO,11,JOHN KERRY,46.1,1259171,GEORGE W. BUSH,53.3,1455713,,,,2004
Kansas,KS,6,JOHN KERRY,36.6,434993,GEORGE W. BUSH,62,736456,,,,2004
Kentucky,KY,8,JOHN KERRY,39.7,712733,GEORGE W. BUSH,59.5,1069439,,,,2004
West Virginia,WV,5,JOHN KERRY,43.2,326541,GEORGE W. BUSH,56.1,423778,,,,2004
Virginia,VA,13,JOHN KERRY,45.5,1454742,GEORGE W. BUSH,53.7,1716959,,,,2004
Arkansas,AR,6,JOHN KERRY,44.5,469953,GEORGE W. BUSH,54.3,572898,,,,2004
Tennessee,TN,11,JOHN KERRY,42.5,1036477,GEORGE W. BUSH,56.8,1384375,,,,2004
North Carolina,NC,15,JOHN KERRY,43.6,1525849,GEORGE W. BUSH,56,1961166,,,,2004
South Carolina,SC,8,JOHN KERRY,40.9,661699,GEORGE W. BUSH,58,937974,,,,2004
Oklahoma,OK,7,JOHN KERRY,34.4,503966,GEORGE W. BUSH,65.6,959792,,,,2004
Louisiana,LA,9,JOHN KERRY,42.2,820299,GEORGE W. BUSH,56.7,1102169,,,,2004
Mississippi,MS,6,JOHN KERRY,39.8,458094,GEORGE W. BUSH,59.5,684981,,,,2004
Alabama,AL,9,JOHN KERRY,36.8,693933,GEORGE W. BUSH,62.5,1176394,,,,2004
Georgia,GA,15,JOHN KERRY,41.4,1366149,GEORGE W. BUSH,58,1914254,,,,2004
Texas,TX,34,JOHN KERRY,38.2,2832704,GEORGE W. BUSH,61.1,4526917,,,,2004
Florida,FL,27,JOHN KERRY,47.1,3583544,GEORGE W. BUSH,52.1,3964522,,,,2004
New Mexico,NM,5,JOHN KERRY,49,370942,GEORGE W. BUSH,49.8,376930,,,,2004
Alaska,AK,3,JOHN KERRY,35.5,111025,GEORGE W. BUSH,61.1,190889,,,,2004
Montana,MT,3,JOHN KERRY,38.6,173710,GEORGE W. BUSH,59.1,266063,,,,2004
Idaho,ID,4,JOHN KERRY,30.3,181098,GEORGE W. BUSH,68.4,409235,,,,2004
Wyoming,WY,3,JOHN KERRY,29.1,70776,GEORGE W. BUSH,68.9,167629,,,,2004
Nevada,NV,5,JOHN KERRY,47.9,397190,GEORGE W. BUSH,50.5,418690,,,,2004
Colorado,CO,9,JOHN KERRY,47,1001732,GEORGE W. BUSH,51.7,1101255,,,,2004
Utah,UT,5,JOHN KERRY,26,241199,GEORGE W. BUSH,71.5,663742,,,,2004
Arizona,AZ,10,JOHN KERRY,44.4,893524,GEORGE W. BUSH,54.9,1104294,,,,2004
