State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,MICHAEL S. DUKAKIS,52.9,1109471,GEORGE BUSH,45.9,962337,,,,1988
Wisconsin,WI,11,MICHAEL S. DUKAKIS,51.4,1126794,GEORGE BUSH,47.8,1047499,,,,1988
Iowa,IA,8,MICHAEL S. DUKAKIS,54.7,670557,GEORGE BUSH,44.5,545355,,,,1988
Dist. of Col.,DC,3,MICHAEL S. DUKAKIS,82.6,159407,GEORGE BUSH,14.3,27590,,,,1988
New York,NY,36,MICHAEL S. DUKAKIS,51.6,3347882,GEORGE BUSH,47.5,3081871,,,,1988
Rhode Island,RI,4,MICHAEL S. DUKAKIS,55.6,225123,GEORGE BUSH,43.9,177761,,,,1988
Massachusetts,MA,13,MICHAEL S. DUKAKIS,53.2,1401415,GEORGE BUSH,45.4,1194635,,,,1988
West Virginia,WV,5,MICHAEL S. DUKAKIS,52.2,341016,GEORGE BUSH,47.5,310065,,,,1988
Washington,WA,10,MICHAEL S. DUKAKIS,50,933516,GEORGE BUSH,48.5,903835,,,,1988
Oregon,OR,7,MICHAEL S. DUKAKIS,51.3,616206,GEORGE BUSH,46.6,560126,,,,1988
Hawaii,HI,4,MICHAEL S. DUKAKIS,54.3,192364,GEORGE BUSH,44.8,158625,,,,1988
North Dakota,ND,3,MICHAEL S. DUKAKIS,43,127739,GEORGE BUSH,56,166559,,,,1988
Michigan,MI,20,MICHAEL S. DUKAKIS,45.7,1675783,GEORGE BUSH,53.6,1965486,,,,1988
Illinois,IL,24,MICHAEL S. DUKAKIS,48.6,2215940,GEORGE BUSH,50.7,2310939,,,,1988
South Dakota,SD,3,MICHAEL S. DUKAKIS,46.5,145560,GEORGE BUSH,52.8,165415,,,,1988
Indiana,IN,12,MICHAEL S. DUKAKIS,39.7,860643,GEORGE BUSH,59.8,1297763,,,,1988
Ohio,OH,23,MICHAEL S. DUKAKIS,44.1,1939629,GEORGE BUSH,55,2416549,,,,1988
Nebraska,NE,5,MICHAEL S. DUKAKIS,39.2,259235,GEORGE BUSH,60.2,397956,,,,1988
Missouri,MO,11,MICHAEL S. DUKAKIS,47.8,1001619,GEORGE BUSH,51.8,1084953,,,,1988
Kansas,KS,7,MICHAEL S. DUKAKIS,42.6,422636,GEORGE BUSH,55.8,554049,,,,1988
Maine,ME,4,MICHAEL S. DUKAKIS,43.9,243569,GEORGE BUSH,55.3,307131,,,,1988
Vermont,VT,3,MICHAEL S. DUKAKIS,47.6,115775,GEORGE BUSH,51.1,124331,,,,1988
New Hampshire,NH,4,MICHAEL S. DUKAKIS,36.3,163696,GEORGE BUSH,62.4,281537,,,,1988
Pennsylvania,PA,25,MICHAEL S. DUKAKIS,48.4,2194944,GEORGE BUSH,50.7,2300087,,,,1988
New Jersey,NJ,16,MICHAEL S. DUKAKIS,42.6,1320352,GEORGE BUSH,56.2,1743192,,,,1988
Connecticut,CT,8,MICHAEL S. DUKAKIS,46.9,676584,GEORGE BUSH,52,750241,,,,1988
