State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Missouri,MO,13,ADLAI E. STEVENSON,50.1,918273,DWIGHT D. EISENHOWER,49.9,914289,,,,1956
Arkansas,AR,8,ADLAI E. STEVENSON,52.5,213277,DWIGHT D. EISENHOWER,45.8,186287,,,,1956
North Carolina,NC,14,ADLAI E. STEVENSON,50.7,590530,DWIGHT D. EISENHOWER,49.3,575062,,,,1956
South Carolina,SC,8,ADLAI E. STEVENSON,45.4,136372,DWIGHT D. EISENHOWER,25.2,75700,,,,1956
Mississippi,MS,8,ADLAI E. STEVENSON,58.2,144453,DWIGHT D. EISENHOWER,24.5,60685,,,,1956
Alabama,AL,10,ADLAI E. STEVENSON,56.5,280844,DWIGHT D. EISENHOWER,39.4,195694,,,,1956
Georgia,GA,12,ADLAI E. STEVENSON,66.4,444688,DWIGHT D. EISENHOWER,33.3,222778,,,,1956
North Dakota,ND,4,ADLAI E. STEVENSON,38.1,96742,DWIGHT D. EISENHOWER,61.7,156766,,,,1956
Minnesota,MN,11,ADLAI E. STEVENSON,46.1,617525,DWIGHT D. EISENHOWER,53.7,719302,,,,1956
Wisconsin,WI,12,ADLAI E. STEVENSON,37.8,586768,DWIGHT D. EISENHOWER,61.6,954844,,,,1956
Michigan,MI,20,ADLAI E. STEVENSON,44.1,1359898,DWIGHT D. EISENHOWER,55.6,1713647,,,,1956
Illinois,IL,27,ADLAI E. STEVENSON,40.3,1775682,DWIGHT D. EISENHOWER,59.5,2623327,,,,1956
South Dakota,SD,4,ADLAI E. STEVENSON,41.6,122288,DWIGHT D. EISENHOWER,58.4,171569,,,,1956
Iowa,IA,10,ADLAI E. STEVENSON,40.7,501858,DWIGHT D. EISENHOWER,59.1,729187,,,,1956
Indiana,IN,13,ADLAI E. STEVENSON,39.7,783908,DWIGHT D. EISENHOWER,59.9,1182811,,,,1956
Ohio,OH,25,ADLAI E. STEVENSON,38.9,1439655,DWIGHT D. EISENHOWER,61.1,2262610,,,,1956
Nebraska,NE,6,ADLAI E. STEVENSON,34.5,199029,DWIGHT D. EISENHOWER,65.5,378108,,,,1956
Kansas,KS,8,ADLAI E. STEVENSON,34.2,296317,DWIGHT D. EISENHOWER,65.4,566878,,,,1956
Maine,ME,5,ADLAI E. STEVENSON,29.1,102468,DWIGHT D. EISENHOWER,70.9,249238,,,,1956
Vermont,VT,3,ADLAI E. STEVENSON,27.8,42549,DWIGHT D. EISENHOWER,72.2,110390,,,,1956
New Hampshire,NH,4,ADLAI E. STEVENSON,33.8,90364,DWIGHT D. EISENHOWER,66.1,176519,,,,1956
New York,NY,45,ADLAI E. STEVENSON,38.7,2747944,DWIGHT D. EISENHOWER,61.2,4345506,,,,1956
Rhode Island,RI,4,ADLAI E. STEVENSON,41.7,161790,DWIGHT D. EISENHOWER,58.3,225819,,,,1956
Massachusetts,MA,16,ADLAI E. STEVENSON,40.4,948190,DWIGHT D. EISENHOWER,59.3,1393197,,,,1956
Pennsylvania,PA,32,ADLAI E. STEVENSON,43.3,1981769,DWIGHT D. EISENHOWER,56.5,2585252,,,,1956
New Jersey,NJ,16,ADLAI E. STEVENSON,34.2,850337,DWIGHT D. EISENHOWER,64.7,1606942,,,,1956
Connecticut,CT,8,ADLAI E. STEVENSON,36.3,405079,DWIGHT D. EISENHOWER,63.7,711837,,,,1956
Delaware,DE,3,ADLAI E. STEVENSON,44.6,79421,DWIGHT D. EISENHOWER,55.1,98057,,,,1956
Kentucky,KY,10,ADLAI E. STEVENSON,45.2,476453,DWIGHT D. EISENHOWER,54.3,572192,,,,1956
West Virginia,WV,8,ADLAI E. STEVENSON,45.9,381534,DWIGHT D. EISENHOWER,54.1,449297,,,,1956
Louisiana,LA,10,ADLAI E. STEVENSON,39.5,243977,DWIGHT D. EISENHOWER,53.3,329047,,,,1956
Maryland,MD,9,ADLAI E. STEVENSON,39.9,372613,DWIGHT D. EISENHOWER,60,559738,,,,1956
Virginia,VA,12,ADLAI E. STEVENSON,38.4,267760,DWIGHT D. EISENHOWER,55.4,386459,,,,1956
Tennessee,TN,11,ADLAI E. STEVENSON,48.6,456507,DWIGHT D. EISENHOWER,49.2,462288,,,,1956
Oklahoma,OK,8,ADLAI E. STEVENSON,44.9,385581,DWIGHT D. EISENHOWER,55.1,473769,,,,1956
Texas,TX,24,ADLAI E. STEVENSON,44,859958,DWIGHT D. EISENHOWER,55.3,1080619,,,,1956
Florida,FL,10,ADLAI E. STEVENSON,42.7,480371,DWIGHT D. EISENHOWER,57.2,643849,,,,1956
Washington,WA,9,ADLAI E. STEVENSON,45.4,523002,DWIGHT D. EISENHOWER,53.9,620430,,,,1956
Montana,MT,4,ADLAI E. STEVENSON,42.9,116238,DWIGHT D. EISENHOWER,57.1,154933,,,,1956
Idaho,ID,4,ADLAI E. STEVENSON,38.8,105868,DWIGHT D. EISENHOWER,61.2,166979,,,,1956
Wyoming,WY,3,ADLAI E. STEVENSON,39.9,49554,DWIGHT D. EISENHOWER,60.1,74573,,,,1956
Oregon,OR,6,ADLAI E. STEVENSON,44.7,329204,DWIGHT D. EISENHOWER,55.2,406393,,,,1956
Nevada,NV,3,ADLAI E. STEVENSON,42,40640,DWIGHT D. EISENHOWER,58,56049,,,,1956
Colorado,CO,6,ADLAI E. STEVENSON,39.3,257997,DWIGHT D. EISENHOWER,60,394479,,,,1956
California,CA,32,ADLAI E. STEVENSON,44.3,2420135,DWIGHT D. EISENHOWER,55.4,3027668,,,,1956
Utah,UT,4,ADLAI E. STEVENSON,35.4,118364,DWIGHT D. EISENHOWER,64.6,215631,,,,1956
Arizona,AZ,4,ADLAI E. STEVENSON,38.9,112880,DWIGHT D. EISENHOWER,61,176990,,,,1956
New Mexico,NM,4,ADLAI E. STEVENSON,41.8,106098,DWIGHT D. EISENHOWER,57.8,146788,,,,1956
