State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,11,FRANKLIN D. ROOSEVELT,52.4,589864,THOMAS E. DEWEY,46.9,527416,,,,1944
Illinois,IL,28,FRANKLIN D. ROOSEVELT,51.5,2079479,THOMAS E. DEWEY,48,1939314,,,,1944
Missouri,MO,15,FRANKLIN D. ROOSEVELT,51.4,807356,THOMAS E. DEWEY,48.4,761175,,,,1944
Michigan,MI,19,FRANKLIN D. ROOSEVELT,50.2,1106899,THOMAS E. DEWEY,49.2,1084423,,,,1944
New Hampshire,NH,4,FRANKLIN D. ROOSEVELT,52.1,119663,THOMAS E. DEWEY,47.9,109916,,,,1944
New York,NY,47,FRANKLIN D. ROOSEVELT,52.3,3304238,THOMAS E. DEWEY,47.3,2987647,,,,1944
Rhode Island,RI,4,FRANKLIN D. ROOSEVELT,58.6,175356,THOMAS E. DEWEY,41.3,123487,,,,1944
Massachusetts,MA,16,FRANKLIN D. ROOSEVELT,52.8,1035296,THOMAS E. DEWEY,47,921350,,,,1944
Pennsylvania,PA,35,FRANKLIN D. ROOSEVELT,51.1,1940479,THOMAS E. DEWEY,48.4,1835054,,,,1944
New Jersey,NJ,16,FRANKLIN D. ROOSEVELT,50.3,987874,THOMAS E. DEWEY,49,961335,,,,1944
Connecticut,CT,8,FRANKLIN D. ROOSEVELT,52.3,435146,THOMAS E. DEWEY,46.9,390527,,,,1944
Delaware,DE,3,FRANKLIN D. ROOSEVELT,54.4,68166,THOMAS E. DEWEY,45.3,56747,,,,1944
Kentucky,KY,11,FRANKLIN D. ROOSEVELT,54.5,472589,THOMAS E. DEWEY,45.2,392448,,,,1944
West Virginia,WV,8,FRANKLIN D. ROOSEVELT,54.9,392777,THOMAS E. DEWEY,45.1,322819,,,,1944
Maryland,MD,8,FRANKLIN D. ROOSEVELT,51.9,315490,THOMAS E. DEWEY,48.1,292949,,,,1944
Virginia,VA,11,FRANKLIN D. ROOSEVELT,62.4,242276,THOMAS E. DEWEY,37.4,145243,,,,1944
Arkansas,AR,9,FRANKLIN D. ROOSEVELT,70,148965,THOMAS E. DEWEY,29.8,63551,,,,1944
Tennessee,TN,12,FRANKLIN D. ROOSEVELT,60.4,308707,THOMAS E. DEWEY,39.2,200311,,,,1944
North Carolina,NC,14,FRANKLIN D. ROOSEVELT,66.7,527399,THOMAS E. DEWEY,33.3,263155,,,,1944
South Carolina,SC,8,FRANKLIN D. ROOSEVELT,87.6,90601,THOMAS E. DEWEY,4.4,4554,,,,1944
Oklahoma,OK,10,FRANKLIN D. ROOSEVELT,55.6,401549,THOMAS E. DEWEY,44.2,319424,,,,1944
Louisiana,LA,10,FRANKLIN D. ROOSEVELT,80.6,281564,THOMAS E. DEWEY,19.4,67750,,,,1944
Mississippi,MS,9,FRANKLIN D. ROOSEVELT,93.6,168621,THOMAS E. DEWEY,6.4,11613,,,,1944
Alabama,AL,11,FRANKLIN D. ROOSEVELT,81.3,198918,THOMAS E. DEWEY,18.2,44540,,,,1944
Georgia,GA,12,FRANKLIN D. ROOSEVELT,81.7,268187,THOMAS E. DEWEY,17.2,56506,,,,1944
Texas,TX,23,FRANKLIN D. ROOSEVELT,71.4,821605,THOMAS E. DEWEY,16.6,191423,,,,1944
Florida,FL,8,FRANKLIN D. ROOSEVELT,70.3,339377,THOMAS E. DEWEY,29.7,143215,,,,1944
Washington,WA,8,FRANKLIN D. ROOSEVELT,56.8,486774,THOMAS E. DEWEY,42.2,361689,,,,1944
Montana,MT,4,FRANKLIN D. ROOSEVELT,54.3,112556,THOMAS E. DEWEY,44.9,93163,,,,1944
Idaho,ID,4,FRANKLIN D. ROOSEVELT,51.6,107399,THOMAS E. DEWEY,48.1,100137,,,,1944
Oregon,OR,6,FRANKLIN D. ROOSEVELT,51.8,248635,THOMAS E. DEWEY,46.9,225365,,,,1944
Nevada,NV,3,FRANKLIN D. ROOSEVELT,54.6,29623,THOMAS E. DEWEY,45.4,24611,,,,1944
California,CA,25,FRANKLIN D. ROOSEVELT,56.5,1988564,THOMAS E. DEWEY,43,1512965,,,,1944
Utah,UT,4,FRANKLIN D. ROOSEVELT,60.4,150088,THOMAS E. DEWEY,39.4,97891,,,,1944
Arizona,AZ,4,FRANKLIN D. ROOSEVELT,58.8,80926,THOMAS E. DEWEY,40.9,56287,,,,1944
New Mexico,NM,4,FRANKLIN D. ROOSEVELT,53.5,81389,THOMAS E. DEWEY,46.4,70688,,,,1944
Wisconsin,WI,12,FRANKLIN D. ROOSEVELT,48.6,650413,THOMAS E. DEWEY,50.4,674532,,,,1944
Ohio,OH,25,FRANKLIN D. ROOSEVELT,49.8,1570763,THOMAS E. DEWEY,50.2,1582293,,,,1944
North Dakota,ND,4,FRANKLIN D. ROOSEVELT,45.5,100144,THOMAS E. DEWEY,53.8,118535,,,,1944
South Dakota,SD,4,FRANKLIN D. ROOSEVELT,41.7,96711,THOMAS E. DEWEY,58.3,135365,,,,1944
Iowa,IA,10,FRANKLIN D. ROOSEVELT,47.5,499876,THOMAS E. DEWEY,52,547267,,,,1944
Indiana,IN,13,FRANKLIN D. ROOSEVELT,46.7,781403,THOMAS E. DEWEY,52.4,875891,,,,1944
Nebraska,NE,6,FRANKLIN D. ROOSEVELT,41.4,233246,THOMAS E. DEWEY,58.6,329880,,,,1944
