State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,BILL CLINTON,43.5,1020997,GEORGE BUSH,31.9,747841,ROSS PEROT,24,562506,1992
Wisconsin,WI,11,BILL CLINTON,41.1,1041066,GEORGE BUSH,36.8,930855,ROSS PEROT,21.5,544479,1992
Iowa,IA,7,BILL CLINTON,43.3,586353,GEORGE BUSH,37.3,504891,ROSS PEROT,18.7,253468,1992
Michigan,MI,18,BILL CLINTON,43.8,1871182,GEORGE BUSH,36.4,1554940,ROSS PEROT,19.3,824813,1992
Illinois,IL,22,BILL CLINTON,48.6,2453350,GEORGE BUSH,34.3,1734096,ROSS PEROT,16.6,840515,1992
Ohio,OH,21,BILL CLINTON,40.2,1984942,GEORGE BUSH,38.3,1894310,ROSS PEROT,21,1036426,1992
Missouri,MO,11,BILL CLINTON,44.1,1053873,GEORGE BUSH,33.9,811159,ROSS PEROT,21.7,518741,1992
New York,NY,33,BILL CLINTON,49.7,3444450,GEORGE BUSH,33.9,2346649,ROSS PEROT,15.7,1090721,1992
Rhode Island,RI,4,BILL CLINTON,47,213299,GEORGE BUSH,29,131601,ROSS PEROT,23.2,105045,1992
Massachusetts,MA,12,BILL CLINTON,47.5,1318662,GEORGE BUSH,29,805049,ROSS PEROT,22.7,630731,1992
Dist. of Col.,DC,3,BILL CLINTON,84.6,192619,GEORGE BUSH,9.1,20698,ROSS PEROT,4.3,9681,1992
Maine,ME,4,BILL CLINTON,38.8,263420,GEORGE BUSH,30.4,206504,ROSS PEROT,30.4,206820,1992
Vermont,VT,3,BILL CLINTON,46.1,133592,GEORGE BUSH,30.4,88122,ROSS PEROT,22.8,65991,1992
New Hampshire,NH,4,BILL CLINTON,38.9,209040,GEORGE BUSH,37.6,202484,ROSS PEROT,22.6,121337,1992
Pennsylvania,PA,23,BILL CLINTON,45.1,2239164,GEORGE BUSH,36.1,1791841,ROSS PEROT,18.2,902667,1992
New Jersey,NJ,15,BILL CLINTON,43,1436206,GEORGE BUSH,40.6,1356865,ROSS PEROT,15.6,521829,1992
Connecticut,CT,8,BILL CLINTON,42.2,682318,GEORGE BUSH,35.8,578313,ROSS PEROT,21.6,348771,1992
Delaware,DE,3,BILL CLINTON,43.5,126054,GEORGE BUSH,35.3,102313,ROSS PEROT,20.4,59213,1992
West Virginia,WV,5,BILL CLINTON,48.4,331001,GEORGE BUSH,35.4,241974,ROSS PEROT,15.9,108829,1992
Kentucky,KY,8,BILL CLINTON,44.6,665104,GEORGE BUSH,41.3,617178,ROSS PEROT,13.7,203944,1992
Maryland,MD,10,BILL CLINTON,49.8,988571,GEORGE BUSH,35.6,707094,ROSS PEROT,14.2,281414,1992
Arkansas,AR,6,BILL CLINTON,53.2,505823,GEORGE BUSH,35.5,337324,ROSS PEROT,10.4,99132,1992
Tennessee,TN,11,BILL CLINTON,47.1,933521,GEORGE BUSH,42.4,841300,ROSS PEROT,10.1,199968,1992
Louisiana,LA,9,BILL CLINTON,45.6,815971,GEORGE BUSH,41,733386,ROSS PEROT,11.8,211478,1992
Georgia,GA,13,BILL CLINTON,43.5,1008966,GEORGE BUSH,42.9,995252,ROSS PEROT,13.3,309657,1992
Washington,WA,11,BILL CLINTON,43.4,993037,GEORGE BUSH,32,731234,ROSS PEROT,23.7,541780,1992
Oregon,OR,7,BILL CLINTON,42.5,621314,GEORGE BUSH,32.5,475757,ROSS PEROT,24.2,354091,1992
Hawaii,HI,4,BILL CLINTON,48.1,179310,GEORGE BUSH,36.7,136822,ROSS PEROT,14.2,53003,1992
Montana,MT,3,BILL CLINTON,37.6,154507,GEORGE BUSH,35.1,144207,ROSS PEROT,26.1,107225,1992
Nevada,NV,4,BILL CLINTON,37.4,189148,GEORGE BUSH,34.7,175828,ROSS PEROT,26.2,132580,1992
Colorado,CO,8,BILL CLINTON,40.1,629681,GEORGE BUSH,35.9,562850,ROSS PEROT,23.3,366010,1992
California,CA,54,BILL CLINTON,46,5121325,GEORGE BUSH,32.6,3630574,ROSS PEROT,20.6,2296006,1992
New Mexico,NM,5,BILL CLINTON,45.9,261617,GEORGE BUSH,37.3,212824,ROSS PEROT,16.1,91895,1992
North Dakota,ND,3,BILL CLINTON,32.2,99168,GEORGE BUSH,44.2,136244,ROSS PEROT,23.1,71084,1992
South Dakota,SD,3,BILL CLINTON,37.1,124888,GEORGE BUSH,40.7,136718,ROSS PEROT,21.8,73295,1992
Indiana,IN,12,BILL CLINTON,36.8,848420,GEORGE BUSH,42.9,989375,ROSS PEROT,19.8,455934,1992
Nebraska,NE,5,BILL CLINTON,29.4,216864,GEORGE BUSH,46.6,343678,ROSS PEROT,23.6,174104,1992
Kansas,KS,6,BILL CLINTON,33.7,390434,GEORGE BUSH,38.9,449951,ROSS PEROT,27,312358,1992
Virginia,VA,13,BILL CLINTON,40.6,1038650,GEORGE BUSH,45,1150517,ROSS PEROT,13.6,348639,1992
North Carolina,NC,14,BILL CLINTON,42.7,1114042,GEORGE BUSH,43.4,1134661,ROSS PEROT,13.7,357864,1992
South Carolina,SC,8,BILL CLINTON,39.9,479514,GEORGE BUSH,48,577507,ROSS PEROT,11.5,138872,1992
Oklahoma,OK,8,BILL CLINTON,34,473066,GEORGE BUSH,42.6,592929,ROSS PEROT,23,319878,1992
Mississippi,MS,7,BILL CLINTON,40.8,400258,GEORGE BUSH,49.7,487793,ROSS PEROT,8.7,85626,1992
Alabama,AL,9,BILL CLINTON,40.9,690080,GEORGE BUSH,47.6,804283,ROSS PEROT,10.8,183109,1992
Texas,TX,32,BILL CLINTON,37.1,2281815,GEORGE BUSH,40.6,2496071,ROSS PEROT,22,1354781,1992
Florida,FL,25,BILL CLINTON,39,2072698,GEORGE BUSH,40.9,2173310,ROSS PEROT,19.8,1053067,1992
Alaska,AK,3,BILL CLINTON,30.3,78294,GEORGE BUSH,39.5,102000,ROSS PEROT,28.4,73481,1992
Idaho,ID,4,BILL CLINTON,28.4,137013,GEORGE BUSH,42,202645,ROSS PEROT,27,130395,1992
Wyoming,WY,3,BILL CLINTON,34,68160,GEORGE BUSH,39.6,79347,ROSS PEROT,25.6,51263,1992
Utah,UT,5,BILL CLINTON,24.7,183429,GEORGE BUSH,43.4,322632,ROSS PEROT,27.3,203400,1992
Arizona,AZ,8,BILL CLINTON,36.5,543050,GEORGE BUSH,38.5,572086,ROSS PEROT,23.8,353741,1992
