State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,HUBERT HUMPHREY,54,857738,RICHARD NIXON,41.5,658643,GEORGE WALLACE,4.3,68931,1968
Michigan,MI,21,HUBERT HUMPHREY,48.2,1593082,RICHARD NIXON,41.5,1370665,GEORGE WALLACE,10,331968,1968
Maine,ME,4,HUBERT HUMPHREY,55.3,217312,RICHARD NIXON,43.1,169254,GEORGE WALLACE,1.6,6370,1968
New York,NY,43,HUBERT HUMPHREY,49.7,3378470,RICHARD NIXON,44.3,3007932,GEORGE WALLACE,5.3,358864,1968
Rhode Island,RI,4,HUBERT HUMPHREY,64,246518,RICHARD NIXON,31.8,122359,GEORGE WALLACE,4.1,15678,1968
Massachusetts,MA,14,HUBERT HUMPHREY,63,1469218,RICHARD NIXON,32.9,766844,GEORGE WALLACE,3.7,87088,1968
Pennsylvania,PA,29,HUBERT HUMPHREY,47.6,2259405,RICHARD NIXON,44,2090017,GEORGE WALLACE,8,378582,1968
Connecticut,CT,8,HUBERT HUMPHREY,49.5,621561,RICHARD NIXON,44.3,556721,GEORGE WALLACE,6.1,76650,1968
Dist. of Col.,DC,3,HUBERT HUMPHREY,81.8,139566,RICHARD NIXON,18.2,31012,GEORGE WALLACE,0,,1968
West Virginia,WV,7,HUBERT HUMPHREY,49.6,374091,RICHARD NIXON,40.8,307555,GEORGE WALLACE,9.6,72560,1968
Maryland,MD,10,HUBERT HUMPHREY,43.6,538310,RICHARD NIXON,41.9,517995,GEORGE WALLACE,14.5,178734,1968
Texas,TX,25,HUBERT HUMPHREY,41.1,1266804,RICHARD NIXON,39.9,1227844,GEORGE WALLACE,19,584269,1968
Washington,WA,9,HUBERT HUMPHREY,47.2,616037,RICHARD NIXON,45.1,588510,GEORGE WALLACE,7.4,96990,1968
Hawaii,HI,4,HUBERT HUMPHREY,59.8,141324,RICHARD NIXON,38.7,91425,GEORGE WALLACE,1.5,3469,1968
Arkansas,AR,6,HUBERT HUMPHREY,30.4,188228,RICHARD NIXON,30.8,190759,GEORGE WALLACE,38.9,240982,1968
Mississippi,MS,7,HUBERT HUMPHREY,23,150644,RICHARD NIXON,13.5,88516,GEORGE WALLACE,63.5,415349,1968
Louisiana,LA,10,HUBERT HUMPHREY,28.2,309615,RICHARD NIXON,23.5,257535,GEORGE WALLACE,48.3,530300,1968
Alabama,AL,10,HUBERT HUMPHREY,18.7,196579,RICHARD NIXON,14,146923,GEORGE WALLACE,65.9,691425,1968
Georgia,GA,12,HUBERT HUMPHREY,26.7,334440,RICHARD NIXON,30.4,380111,GEORGE WALLACE,42.8,535550,1968
North Dakota,ND,4,HUBERT HUMPHREY,38.2,94769,RICHARD NIXON,55.9,138669,GEORGE WALLACE,5.7,14244,1968
Wisconsin,WI,12,HUBERT HUMPHREY,44.3,748804,RICHARD NIXON,47.9,809997,GEORGE WALLACE,7.6,127835,1968
Illinois,IL,26,HUBERT HUMPHREY,44.2,2039814,RICHARD NIXON,47.1,2174774,GEORGE WALLACE,8.5,390958,1968
South Dakota,SD,4,HUBERT HUMPHREY,42,118023,RICHARD NIXON,53.3,149841,GEORGE WALLACE,4.8,13400,1968
