State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,JIMMY CARTER,46.5,954174,RONALD REAGAN,42.6,873268,JOHN ANDERSON,8.5,174990,1980
Rhode Island,RI,4,JIMMY CARTER,47.7,198342,RONALD REAGAN,37.2,154793,JOHN ANDERSON,14.4,59819,1980
Dist. of Col.,DC,3,JIMMY CARTER,74.8,131113,RONALD REAGAN,13.4,23545,JOHN ANDERSON,9.3,16337,1980
West Virginia,WV,6,JIMMY CARTER,49.8,367462,RONALD REAGAN,45.3,334206,JOHN ANDERSON,4.3,31691,1980
Maryland,MD,10,JIMMY CARTER,47.1,726161,RONALD REAGAN,44.2,680606,JOHN ANDERSON,7.8,119537,1980
Georgia,GA,12,JIMMY CARTER,55.8,890733,RONALD REAGAN,41,654168,JOHN ANDERSON,2.3,36055,1980
Hawaii,HI,4,JIMMY CARTER,44.8,135879,RONALD REAGAN,42.9,130112,JOHN ANDERSON,10.6,32021,1980
Wisconsin,WI,11,JIMMY CARTER,43.2,981584,RONALD REAGAN,47.9,1088845,JOHN ANDERSON,7.1,160657,1980
Ohio,OH,25,JIMMY CARTER,40.9,1752414,RONALD REAGAN,51.5,2206545,JOHN ANDERSON,5.9,254472,1980
Missouri,MO,12,JIMMY CARTER,44.3,931182,RONALD REAGAN,51.2,1074181,JOHN ANDERSON,3.7,77920,1980
North Dakota,ND,3,JIMMY CARTER,26.3,79189,RONALD REAGAN,64.2,193695,JOHN ANDERSON,7.8,23640,1980
Michigan,MI,21,JIMMY CARTER,42.5,1661532,RONALD REAGAN,49,1915225,JOHN ANDERSON,7,275223,1980
Illinois,IL,26,JIMMY CARTER,41.7,1981413,RONALD REAGAN,49.6,2358049,JOHN ANDERSON,7.3,346754,1980
South Dakota,SD,4,JIMMY CARTER,31.7,103855,RONALD REAGAN,60.5,198343,JOHN ANDERSON,6.5,21431,1980
Iowa,IA,8,JIMMY CARTER,38.6,508672,RONALD REAGAN,51.3,676026,JOHN ANDERSON,8.8,115633,1980
Indiana,IN,13,JIMMY CARTER,37.7,844197,RONALD REAGAN,56,1255656,JOHN ANDERSON,5,111639,1980
Nebraska,NE,5,JIMMY CARTER,26,166851,RONALD REAGAN,65.5,419937,JOHN ANDERSON,7,44993,1980
Kansas,KS,7,JIMMY CARTER,33.3,326150,RONALD REAGAN,57.9,566812,JOHN ANDERSON,7,68231,1980
New York,NY,41,JIMMY CARTER,44,2728372,RONALD REAGAN,46.7,2893831,JOHN ANDERSON,7.5,467801,1980
Massachusetts,MA,14,JIMMY CARTER,41.7,1053802,RONALD REAGAN,41.9,1057631,JOHN ANDERSON,15.2,382539,1980
Pennsylvania,PA,27,JIMMY CARTER,42.5,1937540,RONALD REAGAN,49.6,2261872,JOHN ANDERSON,6.4,292921,1980
Delaware,DE,3,JIMMY CARTER,44.8,105754,RONALD REAGAN,47.2,111252,JOHN ANDERSON,6.9,16288,1980
Maine,ME,4,JIMMY CARTER,42.3,220974,RONALD REAGAN,45.6,238522,JOHN ANDERSON,10.2,53327,1980
Vermont,VT,3,JIMMY CARTER,38.4,81952,RONALD REAGAN,44.4,94628,JOHN ANDERSON,14.9,31761,1980
New Hampshire,NH,4,JIMMY CARTER,28.4,108864,RONALD REAGAN,57.7,221705,JOHN ANDERSON,12.9,49693,1980
New Jersey,NJ,17,JIMMY CARTER,38.6,1147364,RONALD REAGAN,52,1546557,JOHN ANDERSON,7.9,234632,1980
Connecticut,CT,8,JIMMY CARTER,38.5,541732,RONALD REAGAN,48.2,677210,JOHN ANDERSON,12.2,171807,1980
Kentucky,KY,9,JIMMY CARTER,47.6,616417,RONALD REAGAN,49.1,635274,JOHN ANDERSON,2.4,31127,1980
Arkansas,AR,6,JIMMY CARTER,47.5,398041,RONALD REAGAN,48.1,403164,JOHN ANDERSON,2.7,22468,1980
Tennessee,TN,10,JIMMY CARTER,48.4,783051,RONALD REAGAN,48.7,787761,JOHN ANDERSON,2.2,35991,1980
North Carolina,NC,13,JIMMY CARTER,47.2,875635,RONALD REAGAN,49.3,915018,JOHN ANDERSON,2.8,52800,1980
South Carolina,SC,8,JIMMY CARTER,48.1,430385,RONALD REAGAN,49.4,441841,JOHN ANDERSON,1.6,14153,1980
Louisiana,LA,10,JIMMY CARTER,45.7,708453,RONALD REAGAN,51.2,792853,JOHN ANDERSON,1.7,26345,1980
Mississippi,MS,7,JIMMY CARTER,48.1,429281,RONALD REAGAN,49.4,441089,JOHN ANDERSON,1.3,12036,1980
Alabama,AL,9,JIMMY CARTER,47.4,636730,RONALD REAGAN,48.8,654192,JOHN ANDERSON,1.2,16481,1980
Texas,TX,26,JIMMY CARTER,41.4,1881147,RONALD REAGAN,55.3,2510705,JOHN ANDERSON,2.5,111613,1980
