State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,AL GORE,47.9,1168266,GEORGE W. BUSH,45.5,1109659,RALPH NADER,5.2,126696,2000
Wisconsin,WI,11,AL GORE,47.8,1242987,GEORGE W. BUSH,47.6,1237279,RALPH NADER,3.6,94070,2000
Michigan,MI,18,AL GORE,51.3,2170418,GEORGE W. BUSH,46.1,1953139,RALPH NADER,2,84165,2000
Illinois,IL,22,AL GORE,54.6,2589026,GEORGE W. BUSH,42.6,2019421,RALPH NADER,2.2,103759,2000
Iowa,IA,7,AL GORE,48.5,638517,GEORGE W. BUSH,48.2,634373,RALPH NADER,2.2,29374,2000
Maine,ME,4,AL GORE,49.1,319951,GEORGE W. BUSH,44,286616,RALPH NADER,5.7,37127,2000
Vermont,VT,3,AL GORE,50.6,149022,GEORGE W. BUSH,40.7,119775,RALPH NADER,6.9,20374,2000
New York,NY,33,AL GORE,60.2,4107697,GEORGE W. BUSH,35.2,2403374,RALPH NADER,3.6,244030,2000
Rhode Island,RI,4,AL GORE,61,249508,GEORGE W. BUSH,31.9,130555,RALPH NADER,6.1,25052,2000
Massachusetts,MA,12,AL GORE,59.8,1616487,GEORGE W. BUSH,32.5,878502,RALPH NADER,6.4,173564,2000
Pennsylvania,PA,23,AL GORE,50.6,2485967,GEORGE W. BUSH,46.4,2281127,RALPH NADER,2.1,103392,2000
New Jersey,NJ,15,AL GORE,56.1,1788850,GEORGE W. BUSH,40.3,1284173,RALPH NADER,3,94554,2000
Connecticut,CT,8,AL GORE,55.9,816015,GEORGE W. BUSH,38.4,561094,RALPH NADER,4.4,64452,2000
Dist. of Col.,DC,2,AL GORE,85.2,171923,GEORGE W. BUSH,9,18073,RALPH NADER,5.2,10576,2000
Delaware,DE,3,AL GORE,55,180068,GEORGE W. BUSH,41.9,137288,RALPH NADER,2.5,8307,2000
Maryland,MD,10,AL GORE,56.5,1140782,GEORGE W. BUSH,40.3,813797,RALPH NADER,2.7,53768,2000
Washington,WA,11,AL GORE,50.2,1247652,GEORGE W. BUSH,44.6,1108864,RALPH NADER,4.1,103002,2000
Oregon,OR,7,AL GORE,47,720342,GEORGE W. BUSH,46.5,713577,RALPH NADER,5,77357,2000
California,CA,54,AL GORE,53.4,5861203,GEORGE W. BUSH,41.7,4567429,RALPH NADER,3.8,418707,2000
New Mexico,NM,5,AL GORE,47.9,286783,GEORGE W. BUSH,47.8,286417,RALPH NADER,3.6,21251,2000
