State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Minnesota,MN,10,JIMMY CARTER,54.9,1070440,GERALD R. FORD,42,819395,,,,1976
Wisconsin,WI,11,JIMMY CARTER,49.4,1040232,GERALD R. FORD,47.8,1004987,,,,1976
Ohio,OH,25,JIMMY CARTER,48.9,2011621,GERALD R. FORD,48.7,2000505,,,,1976
Missouri,MO,12,JIMMY CARTER,51.1,998387,GERALD R. FORD,47.5,927443,,,,1976
Massachusetts,MA,14,JIMMY CARTER,56.1,1429475,GERALD R. FORD,40.4,1030276,,,,1976
Dist. of Col.,DC,3,JIMMY CARTER,81.6,137818,GERALD R. FORD,16.5,27873,,,,1976
New York,NY,41,JIMMY CARTER,51.9,3389558,GERALD R. FORD,47.5,3100791,,,,1976
Rhode Island,RI,4,JIMMY CARTER,55.4,227636,GERALD R. FORD,44.1,181249,,,,1976
Pennsylvania,PA,27,JIMMY CARTER,50.4,2328677,GERALD R. FORD,47.7,2205604,,,,1976
Delaware,DE,3,JIMMY CARTER,52,122596,GERALD R. FORD,46.6,109831,,,,1976
Kentucky,KY,9,JIMMY CARTER,52.8,615717,GERALD R. FORD,45.6,531852,,,,1976
West Virginia,WV,6,JIMMY CARTER,58,435914,GERALD R. FORD,41.9,314760,,,,1976
Maryland,MD,10,JIMMY CARTER,52.8,759612,GERALD R. FORD,46.7,672661,,,,1976
Arkansas,AR,6,JIMMY CARTER,65,498604,GERALD R. FORD,34.9,267903,,,,1976
Tennessee,TN,10,JIMMY CARTER,55.9,825879,GERALD R. FORD,42.9,633969,,,,1976
North Carolina,NC,13,JIMMY CARTER,55.2,927365,GERALD R. FORD,44.2,741960,,,,1976
South Carolina,SC,8,JIMMY CARTER,56.2,450807,GERALD R. FORD,43.1,346149,,,,1976
Louisiana,LA,10,JIMMY CARTER,51.7,661365,GERALD R. FORD,46,587446,,,,1976
Mississippi,MS,7,JIMMY CARTER,49.6,381309,GERALD R. FORD,47.7,366846,,,,1976
Alabama,AL,9,JIMMY CARTER,55.7,659170,GERALD R. FORD,42.6,504070,,,,1976
Georgia,GA,12,JIMMY CARTER,66.7,979409,GERALD R. FORD,33,483743,,,,1976
Texas,TX,26,JIMMY CARTER,51.1,2082319,GERALD R. FORD,48,1953300,,,,1976
Florida,FL,17,JIMMY CARTER,51.9,1636000,GERALD R. FORD,46.6,1469531,,,,1976
Hawaii,HI,4,JIMMY CARTER,50.6,147375,GERALD R. FORD,48.1,140003,,,,1976
North Dakota,ND,3,JIMMY CARTER,45.8,136078,GERALD R. FORD,51.6,153470,,,,1976
Michigan,MI,21,JIMMY CARTER,46.4,1696714,GERALD R. FORD,51.8,1893742,,,,1976
Illinois,IL,26,JIMMY CARTER,48.1,2271295,GERALD R. FORD,50.1,2364269,,,,1976
South Dakota,SD,4,JIMMY CARTER,48.9,147068,GERALD R. FORD,50.4,151505,,,,1976
Iowa,IA,8,JIMMY CARTER,48.5,619931,GERALD R. FORD,49.5,632863,,,,1976
Indiana,IN,13,JIMMY CARTER,45.7,1014714,GERALD R. FORD,53.3,1183958,,,,1976
Nebraska,NE,5,JIMMY CARTER,38.5,233692,GERALD R. FORD,59.2,359705,,,,1976
Kansas,KS,7,JIMMY CARTER,44.9,430421,GERALD R. FORD,52.5,502752,,,,1976
Maine,ME,4,JIMMY CARTER,48.1,232279,GERALD R. FORD,48.9,236320,,,,1976
Vermont,VT,3,JIMMY CARTER,43.1,80954,GERALD R. FORD,54.4,102085,,,,1976
New Hampshire,NH,4,JIMMY CARTER,43.5,147635,GERALD R. FORD,54.7,185935,,,,1976
New Jersey,NJ,17,JIMMY CARTER,47.9,1444653,GERALD R. FORD,50.1,1509688,,,,1976
Connecticut,CT,8,JIMMY CARTER,46.9,647895,GERALD R. FORD,52.1,719261,,,,1976
Virginia,VA,12,JIMMY CARTER,48,813896,GERALD R. FORD,49.3,836554,,,,1976
Oklahoma,OK,8,JIMMY CARTER,48.7,532442,GERALD R. FORD,50,545708,,,,1976
Alaska,AK,3,JIMMY CARTER,35.7,44058,GERALD R. FORD,57.9,71555,,,,1976
Washington,WA,8,JIMMY CARTER,46.1,717323,GERALD R. FORD,50,777732,,,,1976
Montana,MT,4,JIMMY CARTER,45.4,149259,GERALD R. FORD,52.8,173703,,,,1976
Idaho,ID,4,JIMMY CARTER,36.8,126549,GERALD R. FORD,59.3,204151,,,,1976
Wyoming,WY,3,JIMMY CARTER,39.8,62239,GERALD R. FORD,59.3,92717,,,,1976
Oregon,OR,6,JIMMY CARTER,47.6,490407,GERALD R. FORD,47.8,492120,,,,1976
Nevada,NV,3,JIMMY CARTER,45.8,92479,GERALD R. FORD,50.2,101273,,,,1976
Colorado,CO,7,JIMMY CARTER,42.6,460353,GERALD R. FORD,54,584367,,,,1976
California,CA,45,JIMMY CARTER,47.6,3742284,GERALD R. FORD,49.3,3882244,,,,1976
Utah,UT,4,JIMMY CARTER,33.6,182110,GERALD R. FORD,62.4,337908,,,,1976
Arizona,AZ,6,JIMMY CARTER,39.8,295602,GERALD R. FORD,56.4,418642,,,,1976
New Mexico,NM,4,JIMMY CARTER,48.1,201148,GERALD R. FORD,50.5,211419,,,,1976
