State,Abbreviation,Total_EV,D_Nominee,D_Percentage,D_Votes,R_Nominee,R_Percentage,R_Votes,I_Nominee,I_Percentage,I_Votes,Year
Alabama,AL,11,JOHN F KENNEDY,56.39,318303,RICHARD NIXON,42.16,237981,,,,1960
Alaska,AK,3,JOHN F KENNEDY,49.06,29809,RICHARD NIXON,50.94,30953,,,,1960
Arizona,AZ,4,JOHN F KENNEDY,44.36,176781,RICHARD NIXON,55.52,221241,,,,1960
Arkansas,AR,8,JOHN F KENNEDY,50.19,215049,RICHARD NIXON,43.06,184508,,,,1960
California,CA,32,JOHN F KENNEDY,49.55,3224099,RICHARD NIXON,50.1,3259722,,,,1960
Colorado,CO,6,JOHN F KENNEDY,44.91,330629,RICHARD NIXON,54.63,402242,,,,1960
Connecticut,CT,8,JOHN F KENNEDY,53.73,657055,RICHARD NIXON,46.27,565813,,,,1960
Delaware,DE,3,JOHN F KENNEDY,50.63,99590,RICHARD NIXON,49,96373,,,,1960
Florida,FL,10,JOHN F KENNEDY,48.49,748700,RICHARD NIXON,51.51,795476,,,,1960
Georgia,GA,12,JOHN F KENNEDY,62.54,458638,RICHARD NIXON,37.43,274472,,,,1960
Hawaii,HI,3,JOHN F KENNEDY,50.03,92410,RICHARD NIXON,49.97,92295,,,,1960
Idaho,ID,4,JOHN F KENNEDY,46.22,138853,RICHARD NIXON,53.78,161597,,,,1960
Illinois,IL,27,JOHN F KENNEDY,49.98,2377846,RICHARD NIXON,49.8,2368988,,,,1960
Indiana,IN,13,JOHN F KENNEDY,44.6,952358,RICHARD NIXON,55.03,1175120,,,,1960
Iowa,IA,10,JOHN F KENNEDY,43.22,550565,RICHARD NIXON,56.71,722381,,,,1960
Kansas,KS,8,JOHN F KENNEDY,39.1,363213,RICHARD NIXON,60.45,561474,,,,1960
Kentucky,KY,10,JOHN F KENNEDY,46.41,521855,RICHARD NIXON,53.59,602607,,,,1960
Louisiana,LA,10,JOHN F KENNEDY,50.42,407339,RICHARD NIXON,28.59,230980,,,,1960
Maine,ME,5,JOHN F KENNEDY,42.95,181159,RICHARD NIXON,57.05,240608,,,,1960
Maryland,MD,9,JOHN F KENNEDY,53.61,565808,RICHARD NIXON,46.39,489538,,,,1960
Massachusetts,MA,16,JOHN F KENNEDY,60.22,1487174,RICHARD NIXON,39.55,976750,,,,1960
Michigan,MI,20,JOHN F KENNEDY,50.85,1687269,RICHARD NIXON,48.84,1620428,,,,1960
Minnesota,MN,11,JOHN F KENNEDY,50.58,779933,RICHARD NIXON,49.16,757915,,,,1960
Mississippi,MS,8,JOHN F KENNEDY,36.34,108362,RICHARD NIXON,24.67,73561,,,,1960
Missouri,MO,13,JOHN F KENNEDY,50.26,972201,RICHARD NIXON,49.74,962221,,,,1960
Montana,MT,4,JOHN F KENNEDY,48.6,134891,RICHARD NIXON,51.1,141841,,,,1960
Nebraska,NE,6,JOHN F KENNEDY,37.93,232542,RICHARD NIXON,62.07,380553,,,,1960
Nevada,NV,3,JOHN F KENNEDY,51.16,54880,RICHARD NIXON,48.84,52387,,,,1960
New Hampshire,NH,4,JOHN F KENNEDY,46.58,137772,RICHARD NIXON,53.42,157989,,,,1960
New Jersey,NJ,16,JOHN F KENNEDY,49.96,1385415,RICHARD NIXON,49.16,1363324,,,,1960
New Mexico,NM,4,JOHN F KENNEDY,50.15,156027,RICHARD NIXON,49.41,153733,,,,1960
New York,NY,45,JOHN F KENNEDY,52.53,3830085,RICHARD NIXON,47.27,3446419,,,,1960
North Carolina,NC,14,JOHN F KENNEDY,52.11,713136,RICHARD NIXON,47.89,655420,,,,1960
North Dakota,ND,4,JOHN F KENNEDY,44.52,123963,RICHARD NIXON,55.42,154310,,,,1960
Ohio,OH,25,JOHN F KENNEDY,46.72,1944248,RICHARD NIXON,53.28,2217611,,,,1960
Oklahoma,OK,8,JOHN F KENNEDY,40.98,370111,RICHARD NIXON,59.02,533039,,,,1960
Oregon,OR,6,JOHN F KENNEDY,47.32,367402,RICHARD NIXON,52.56,408060,,,,1960
Pennsylvania,PA,32,JOHN F KENNEDY,51.06,2556282,RICHARD NIXON,48.74,2439956,,,,1960
Rhode Island,RI,4,JOHN F KENNEDY,63.63,258032,RICHARD NIXON,36.37,147502,,,,1960
South Carolina,SC,8,JOHN F KENNEDY,51.24,198129,RICHARD NIXON,48.76,188558,,,,1960
South Dakota,SD,4,JOHN F KENNEDY,41.79,128070,RICHARD NIXON,58.21,178417,,,,1960
Tennessee,TN,11,JOHN F KENNEDY,45.77,481453,RICHARD NIXON,52.92,556577,,,,1960
Texas,TX,24,JOHN F KENNEDY,50.52,1167567,RICHARD NIXON,48.52,1121310,,,,1960
Utah,UT,4,JOHN F KENNEDY,45.17,169248,RICHARD NIXON,54.81,205361,,,,1960
Vermont,VT,3,JOHN F KENNEDY,41.35,69186,RICHARD NIXON,58.65,98131,,,,1960
Virginia,VA,12,JOHN F KENNEDY,46.97,362327,RICHARD NIXON,52.44,404521,,,,1960
Washington,WA,9,JOHN F KENNEDY,48.27,599298,RICHARD NIXON,50.68,629273,,,,1960
West Virginia,WV,8,JOHN F KENNEDY,52.73,441786,RICHARD NIXON,47.27,395995,,,,1960
Wisconsin,WI,12,JOHN F KENNEDY,48.05,830805,RICHARD NIXON,51.77,895175,,,,1960
Wyoming,WY,3,JOHN F KENNEDY,44.99,63331,RICHARD NIXON,55.01,77451,,,,1960
